qa_id,source_arxiv_id,source_title,template_type,question,intended_condition,forced_context_id,distractor_strategy,notes
2505.11731__method,2505.11731,Dist2ill: Distributional Distillation for One-Pass Uncertainty Estimation in Large Langua…,method,"What method or approach does the paper ""Dist2ill: Distributional Distillation for One-Pass Uncertainty Estimation in Large Language Models"" propose?",well_supported,,,
2505.11731__dataset,2505.11731,Dist2ill: Distributional Distillation for One-Pass Uncertainty Estimation in Large Langua…,dataset,"What dataset(s) or benchmark(s) does the paper ""Dist2ill: Distributional Distillation for One-Pass Uncertainty Estimation in Large Language Models"" use?",partially_supported,,,
2505.11731__finding,2505.11731,Dist2ill: Distributional Distillation for One-Pass Uncertainty Estimation in Large Langua…,finding,"What is the main finding or result reported in the paper ""Dist2ill: Distributional Distillation for One-Pass Uncertainty Estimation in Large Language Models""?",poorly_supported,2608.07827,similar,
2502.01142__method,2502.01142,DeepRAG: Thinking to Retrieve Step by Step for Large Language Models,method,"What method or approach does the paper ""DeepRAG: Thinking to Retrieve Step by Step for Large Language Models"" propose?",poorly_supported,2505.17503,similar,
2502.01142__dataset,2502.01142,DeepRAG: Thinking to Retrieve Step by Step for Large Language Models,dataset,"What dataset(s) or benchmark(s) does the paper ""DeepRAG: Thinking to Retrieve Step by Step for Large Language Models"" use?",partially_supported,,,
2502.01142__finding,2502.01142,DeepRAG: Thinking to Retrieve Step by Step for Large Language Models,finding,"What is the main finding or result reported in the paper ""DeepRAG: Thinking to Retrieve Step by Step for Large Language Models""?",well_supported,,,
2509.26011__method,2509.26011,RAGferee: Building Contextual Reward Models for Retrieval-Augmented Generation,method,"What method or approach does the paper ""RAGferee: Building Contextual Reward Models for Retrieval-Augmented Generation"" propose?",poorly_supported,2607.17883,dissimilar,
2509.26011__dataset,2509.26011,RAGferee: Building Contextual Reward Models for Retrieval-Augmented Generation,dataset,"What dataset(s) or benchmark(s) does the paper ""RAGferee: Building Contextual Reward Models for Retrieval-Augmented Generation"" use?",poorly_supported,2601.16503,similar,
2509.26011__finding,2509.26011,RAGferee: Building Contextual Reward Models for Retrieval-Augmented Generation,finding,"What is the main finding or result reported in the paper ""RAGferee: Building Contextual Reward Models for Retrieval-Augmented Generation""?",well_supported,,,
2601.16503__method,2601.16503,MRAG: Benchmarking Retrieval-Augmented Generation for Bio-medicine,method,"What method or approach does the paper ""MRAG: Benchmarking Retrieval-Augmented Generation for Bio-medicine"" propose?",poorly_supported,2607.17883,dissimilar,
2601.16503__dataset,2601.16503,MRAG: Benchmarking Retrieval-Augmented Generation for Bio-medicine,dataset,"What dataset(s) or benchmark(s) does the paper ""MRAG: Benchmarking Retrieval-Augmented Generation for Bio-medicine"" use?",poorly_supported,2607.17883,dissimilar,
2601.16503__finding,2601.16503,MRAG: Benchmarking Retrieval-Augmented Generation for Bio-medicine,finding,"What is the main finding or result reported in the paper ""MRAG: Benchmarking Retrieval-Augmented Generation for Bio-medicine""?",well_supported,,,
2406.14709__method,2406.14709,Factual Dialogue Summarization via Learning from Large Language Models,method,"What method or approach does the paper ""Factual Dialogue Summarization via Learning from Large Language Models"" propose?",well_supported,,,
2406.14709__dataset,2406.14709,Factual Dialogue Summarization via Learning from Large Language Models,dataset,"What dataset(s) or benchmark(s) does the paper ""Factual Dialogue Summarization via Learning from Large Language Models"" use?",partially_supported,,,
2406.14709__finding,2406.14709,Factual Dialogue Summarization via Learning from Large Language Models,finding,"What is the main finding or result reported in the paper ""Factual Dialogue Summarization via Learning from Large Language Models""?",partially_supported,,,
2310.05634__method,2310.05634,Towards Verifiable Generation: A Benchmark for Knowledge-aware Language Model Attribution,method,"What method or approach does the paper ""Towards Verifiable Generation: A Benchmark for Knowledge-aware Language Model Attribution"" propose?",poorly_supported,2601.02179,dissimilar,
2310.05634__dataset,2310.05634,Towards Verifiable Generation: A Benchmark for Knowledge-aware Language Model Attribution,dataset,"What dataset(s) or benchmark(s) does the paper ""Towards Verifiable Generation: A Benchmark for Knowledge-aware Language Model Attribution"" use?",well_supported,,,
2310.05634__finding,2310.05634,Towards Verifiable Generation: A Benchmark for Knowledge-aware Language Model Attribution,finding,"What is the main finding or result reported in the paper ""Towards Verifiable Generation: A Benchmark for Knowledge-aware Language Model Attribution""?",well_supported,,,
2407.02062__method,2407.02062,Are Data Augmentation Methods in Named Entity Recognition Applicable for Uncertainty Esti…,method,"What method or approach does the paper ""Are Data Augmentation Methods in Named Entity Recognition Applicable for Uncertainty Estimation?"" propose?",well_supported,,,
2407.02062__dataset,2407.02062,Are Data Augmentation Methods in Named Entity Recognition Applicable for Uncertainty Esti…,dataset,"What dataset(s) or benchmark(s) does the paper ""Are Data Augmentation Methods in Named Entity Recognition Applicable for Uncertainty Estimation?"" use?",partially_supported,,,
2407.02062__finding,2407.02062,Are Data Augmentation Methods in Named Entity Recognition Applicable for Uncertainty Esti…,finding,"What is the main finding or result reported in the paper ""Are Data Augmentation Methods in Named Entity Recognition Applicable for Uncertainty Estimation?""?",poorly_supported,2509.24202,similar,
2507.02949__method,2507.02949,RADIANT: Retrieval AugmenteD entIty-context AligNmenT -- Introducing RAG-ability and Enti…,method,"What method or approach does the paper ""RADIANT: Retrieval AugmenteD entIty-context AligNmenT -- Introducing RAG-ability and Entity-Context Divergence"" propose?",poorly_supported,2505.17503,similar,
2507.02949__dataset,2507.02949,RADIANT: Retrieval AugmenteD entIty-context AligNmenT -- Introducing RAG-ability and Enti…,dataset,"What dataset(s) or benchmark(s) does the paper ""RADIANT: Retrieval AugmenteD entIty-context AligNmenT -- Introducing RAG-ability and Entity-Context Divergence"" use?",partially_supported,,,
2507.02949__finding,2507.02949,RADIANT: Retrieval AugmenteD entIty-context AligNmenT -- Introducing RAG-ability and Enti…,finding,"What is the main finding or result reported in the paper ""RADIANT: Retrieval AugmenteD entIty-context AligNmenT -- Introducing RAG-ability and Entity-Context Divergence""?",poorly_supported,2505.17503,similar,
2406.03790__method,2406.03790,End-to-End Trainable Retrieval-Augmented Generation for Relation Extraction,method,"What method or approach does the paper ""End-to-End Trainable Retrieval-Augmented Generation for Relation Extraction"" propose?",well_supported,,,
2406.03790__dataset,2406.03790,End-to-End Trainable Retrieval-Augmented Generation for Relation Extraction,dataset,"What dataset(s) or benchmark(s) does the paper ""End-to-End Trainable Retrieval-Augmented Generation for Relation Extraction"" use?",poorly_supported,2507.02949,similar,
2406.03790__finding,2406.03790,End-to-End Trainable Retrieval-Augmented Generation for Relation Extraction,finding,"What is the main finding or result reported in the paper ""End-to-End Trainable Retrieval-Augmented Generation for Relation Extraction""?",well_supported,,,
2212.09968__method,2212.09968,On Improving Summarization Factual Consistency from Natural Language Feedback,method,"What method or approach does the paper ""On Improving Summarization Factual Consistency from Natural Language Feedback"" propose?",well_supported,,,
2212.09968__dataset,2212.09968,On Improving Summarization Factual Consistency from Natural Language Feedback,dataset,"What dataset(s) or benchmark(s) does the paper ""On Improving Summarization Factual Consistency from Natural Language Feedback"" use?",well_supported,,,
2212.09968__finding,2212.09968,On Improving Summarization Factual Consistency from Natural Language Feedback,finding,"What is the main finding or result reported in the paper ""On Improving Summarization Factual Consistency from Natural Language Feedback""?",poorly_supported,2211.08412,similar,
2403.18381__method,2403.18381,Improving Attributed Text Generation of Large Language Models via Preference Learning,method,"What method or approach does the paper ""Improving Attributed Text Generation of Large Language Models via Preference Learning"" propose?",poorly_supported,2603.06290,dissimilar,
2403.18381__dataset,2403.18381,Improving Attributed Text Generation of Large Language Models via Preference Learning,dataset,"What dataset(s) or benchmark(s) does the paper ""Improving Attributed Text Generation of Large Language Models via Preference Learning"" use?",well_supported,,,
2403.18381__finding,2403.18381,Improving Attributed Text Generation of Large Language Models via Preference Learning,finding,"What is the main finding or result reported in the paper ""Improving Attributed Text Generation of Large Language Models via Preference Learning""?",poorly_supported,2603.06290,dissimilar,
2602.13540__method,2602.13540,On Calibration of Large Language Models: From Response To Capability,method,"What method or approach does the paper ""On Calibration of Large Language Models: From Response To Capability"" propose?",poorly_supported,2603.06290,dissimilar,
2602.13540__dataset,2602.13540,On Calibration of Large Language Models: From Response To Capability,dataset,"What dataset(s) or benchmark(s) does the paper ""On Calibration of Large Language Models: From Response To Capability"" use?",partially_supported,,,
2602.13540__finding,2602.13540,On Calibration of Large Language Models: From Response To Capability,finding,"What is the main finding or result reported in the paper ""On Calibration of Large Language Models: From Response To Capability""?",poorly_supported,2603.06290,dissimilar,
2509.10467__method,2509.10467,DSRAG: A Domain-Specific Retrieval Framework Based on Document-derived Multimodal Knowled…,method,"What method or approach does the paper ""DSRAG: A Domain-Specific Retrieval Framework Based on Document-derived Multimodal Knowledge Graph"" propose?",well_supported,,,
2509.10467__dataset,2509.10467,DSRAG: A Domain-Specific Retrieval Framework Based on Document-derived Multimodal Knowled…,dataset,"What dataset(s) or benchmark(s) does the paper ""DSRAG: A Domain-Specific Retrieval Framework Based on Document-derived Multimodal Knowledge Graph"" use?",partially_supported,,,
2509.10467__finding,2509.10467,DSRAG: A Domain-Specific Retrieval Framework Based on Document-derived Multimodal Knowled…,finding,"What is the main finding or result reported in the paper ""DSRAG: A Domain-Specific Retrieval Framework Based on Document-derived Multimodal Knowledge Graph""?",poorly_supported,2412.18004,dissimilar,
2404.07060__method,2404.07060,Groundedness in Retrieval-augmented Long-form Generation: An Empirical Study,method,"What method or approach does the paper ""Groundedness in Retrieval-augmented Long-form Generation: An Empirical Study"" propose?",well_supported,,,
2404.07060__dataset,2404.07060,Groundedness in Retrieval-augmented Long-form Generation: An Empirical Study,dataset,"What dataset(s) or benchmark(s) does the paper ""Groundedness in Retrieval-augmented Long-form Generation: An Empirical Study"" use?",partially_supported,,,
2404.07060__finding,2404.07060,Groundedness in Retrieval-augmented Long-form Generation: An Empirical Study,finding,"What is the main finding or result reported in the paper ""Groundedness in Retrieval-augmented Long-form Generation: An Empirical Study""?",well_supported,,,
2409.01864__method,2409.01864,The Role of Large Language Models in Musicology: Are We Ready to Trust the Machines?,method,"What method or approach does the paper ""The Role of Large Language Models in Musicology: Are We Ready to Trust the Machines?"" propose?",well_supported,,,
2409.01864__dataset,2409.01864,The Role of Large Language Models in Musicology: Are We Ready to Trust the Machines?,dataset,"What dataset(s) or benchmark(s) does the paper ""The Role of Large Language Models in Musicology: Are We Ready to Trust the Machines?"" use?",partially_supported,,,
2409.01864__finding,2409.01864,The Role of Large Language Models in Musicology: Are We Ready to Trust the Machines?,finding,"What is the main finding or result reported in the paper ""The Role of Large Language Models in Musicology: Are We Ready to Trust the Machines?""?",poorly_supported,2407.02062,dissimilar,
2211.08412__method,2211.08412,Evaluating the Factual Consistency of Large Language Models Through News Summarization,method,"What method or approach does the paper ""Evaluating the Factual Consistency of Large Language Models Through News Summarization"" propose?",well_supported,,,
2211.08412__dataset,2211.08412,Evaluating the Factual Consistency of Large Language Models Through News Summarization,dataset,"What dataset(s) or benchmark(s) does the paper ""Evaluating the Factual Consistency of Large Language Models Through News Summarization"" use?",well_supported,,,
2211.08412__finding,2211.08412,Evaluating the Factual Consistency of Large Language Models Through News Summarization,finding,"What is the main finding or result reported in the paper ""Evaluating the Factual Consistency of Large Language Models Through News Summarization""?",well_supported,,,
2412.18004__method,2412.18004,Correctness is not Faithfulness in RAG Attributions,method,"What method or approach does the paper ""Correctness is not Faithfulness in RAG Attributions"" propose?",well_supported,,,
2412.18004__dataset,2412.18004,Correctness is not Faithfulness in RAG Attributions,dataset,"What dataset(s) or benchmark(s) does the paper ""Correctness is not Faithfulness in RAG Attributions"" use?",partially_supported,,,
2412.18004__finding,2412.18004,Correctness is not Faithfulness in RAG Attributions,finding,"What is the main finding or result reported in the paper ""Correctness is not Faithfulness in RAG Attributions""?",well_supported,,,
2601.02179__method,2601.02179,Confidence Estimation for LLMs in Multi-turn Interactions,method,"What method or approach does the paper ""Confidence Estimation for LLMs in Multi-turn Interactions"" propose?",well_supported,,,
2601.02179__dataset,2601.02179,Confidence Estimation for LLMs in Multi-turn Interactions,dataset,"What dataset(s) or benchmark(s) does the paper ""Confidence Estimation for LLMs in Multi-turn Interactions"" use?",well_supported,,,
2601.02179__finding,2601.02179,Confidence Estimation for LLMs in Multi-turn Interactions,finding,"What is the main finding or result reported in the paper ""Confidence Estimation for LLMs in Multi-turn Interactions""?",poorly_supported,2510.10913,similar,
2410.22874__method,2410.22874,Eliciting Critical Reasoning in Retrieval-Augmented Language Models via Contrastive Expla…,method,"What method or approach does the paper ""Eliciting Critical Reasoning in Retrieval-Augmented Language Models via Contrastive Explanations"" propose?",well_supported,,,
2410.22874__dataset,2410.22874,Eliciting Critical Reasoning in Retrieval-Augmented Language Models via Contrastive Expla…,dataset,"What dataset(s) or benchmark(s) does the paper ""Eliciting Critical Reasoning in Retrieval-Augmented Language Models via Contrastive Explanations"" use?",well_supported,,,
2410.22874__finding,2410.22874,Eliciting Critical Reasoning in Retrieval-Augmented Language Models via Contrastive Expla…,finding,"What is the main finding or result reported in the paper ""Eliciting Critical Reasoning in Retrieval-Augmented Language Models via Contrastive Explanations""?",well_supported,,,
2303.03278__method,2303.03278,Faithfulness-Aware Decoding Strategies for Abstractive Summarization,method,"What method or approach does the paper ""Faithfulness-Aware Decoding Strategies for Abstractive Summarization"" propose?",well_supported,,,
2303.03278__dataset,2303.03278,Faithfulness-Aware Decoding Strategies for Abstractive Summarization,dataset,"What dataset(s) or benchmark(s) does the paper ""Faithfulness-Aware Decoding Strategies for Abstractive Summarization"" use?",well_supported,,,
2303.03278__finding,2303.03278,Faithfulness-Aware Decoding Strategies for Abstractive Summarization,finding,"What is the main finding or result reported in the paper ""Faithfulness-Aware Decoding Strategies for Abstractive Summarization""?",well_supported,,,
2505.17503__method,2505.17503,CReSt: A Comprehensive Benchmark for Retrieval-Augmented Generation with Complex Reasonin…,method,"What method or approach does the paper ""CReSt: A Comprehensive Benchmark for Retrieval-Augmented Generation with Complex Reasoning over Structured Documents"" propose?",well_supported,,,
2505.17503__dataset,2505.17503,CReSt: A Comprehensive Benchmark for Retrieval-Augmented Generation with Complex Reasonin…,dataset,"What dataset(s) or benchmark(s) does the paper ""CReSt: A Comprehensive Benchmark for Retrieval-Augmented Generation with Complex Reasoning over Structured Documents"" use?",well_supported,,,
2505.17503__finding,2505.17503,CReSt: A Comprehensive Benchmark for Retrieval-Augmented Generation with Complex Reasonin…,finding,"What is the main finding or result reported in the paper ""CReSt: A Comprehensive Benchmark for Retrieval-Augmented Generation with Complex Reasoning over Structured Documents""?",well_supported,,,
2402.15162__method,2402.15162,Entity-level Factual Adaptiveness of Fine-tuning based Abstractive Summarization Models,method,"What method or approach does the paper ""Entity-level Factual Adaptiveness of Fine-tuning based Abstractive Summarization Models"" propose?",poorly_supported,2406.14709,similar,
2402.15162__dataset,2402.15162,Entity-level Factual Adaptiveness of Fine-tuning based Abstractive Summarization Models,dataset,"What dataset(s) or benchmark(s) does the paper ""Entity-level Factual Adaptiveness of Fine-tuning based Abstractive Summarization Models"" use?",well_supported,,,
2402.15162__finding,2402.15162,Entity-level Factual Adaptiveness of Fine-tuning based Abstractive Summarization Models,finding,"What is the main finding or result reported in the paper ""Entity-level Factual Adaptiveness of Fine-tuning based Abstractive Summarization Models""?",well_supported,,,
2406.13663__method,2406.13663,Model Internals-based Answer Attribution for Trustworthy Retrieval-Augmented Generation,method,"What method or approach does the paper ""Model Internals-based Answer Attribution for Trustworthy Retrieval-Augmented Generation"" propose?",poorly_supported,2407.02062,dissimilar,
2406.13663__dataset,2406.13663,Model Internals-based Answer Attribution for Trustworthy Retrieval-Augmented Generation,dataset,"What dataset(s) or benchmark(s) does the paper ""Model Internals-based Answer Attribution for Trustworthy Retrieval-Augmented Generation"" use?",well_supported,,,
2406.13663__finding,2406.13663,Model Internals-based Answer Attribution for Trustworthy Retrieval-Augmented Generation,finding,"What is the main finding or result reported in the paper ""Model Internals-based Answer Attribution for Trustworthy Retrieval-Augmented Generation""?",poorly_supported,2509.20859,similar,
2509.07925__method,2509.07925,GENUINE: Graph Enhanced Multi-level Uncertainty Estimation for Large Language Models,method,"What method or approach does the paper ""GENUINE: Graph Enhanced Multi-level Uncertainty Estimation for Large Language Models"" propose?",well_supported,,,
2509.07925__dataset,2509.07925,GENUINE: Graph Enhanced Multi-level Uncertainty Estimation for Large Language Models,dataset,"What dataset(s) or benchmark(s) does the paper ""GENUINE: Graph Enhanced Multi-level Uncertainty Estimation for Large Language Models"" use?",partially_supported,,,
2509.07925__finding,2509.07925,GENUINE: Graph Enhanced Multi-level Uncertainty Estimation for Large Language Models,finding,"What is the main finding or result reported in the paper ""GENUINE: Graph Enhanced Multi-level Uncertainty Estimation for Large Language Models""?",poorly_supported,2509.24202,similar,
2502.06864__method,2502.06864,Knowledge Graph-Guided Retrieval Augmented Generation,method,"What method or approach does the paper ""Knowledge Graph-Guided Retrieval Augmented Generation"" propose?",well_supported,,,
2502.06864__dataset,2502.06864,Knowledge Graph-Guided Retrieval Augmented Generation,dataset,"What dataset(s) or benchmark(s) does the paper ""Knowledge Graph-Guided Retrieval Augmented Generation"" use?",well_supported,,,
2502.06864__finding,2502.06864,Knowledge Graph-Guided Retrieval Augmented Generation,finding,"What is the main finding or result reported in the paper ""Knowledge Graph-Guided Retrieval Augmented Generation""?",well_supported,,,
2607.17883__method,2607.17883,"Zero Hallucination, by Construction: Hallucination-Aware Layered Oversight for Trustworth…",method,"What method or approach does the paper ""Zero Hallucination, by Construction: Hallucination-Aware Layered Oversight for Trustworthy Enterprise AI"" propose?",poorly_supported,2412.18004,similar,
2607.17883__dataset,2607.17883,"Zero Hallucination, by Construction: Hallucination-Aware Layered Oversight for Trustworth…",dataset,"What dataset(s) or benchmark(s) does the paper ""Zero Hallucination, by Construction: Hallucination-Aware Layered Oversight for Trustworthy Enterprise AI"" use?",partially_supported,,,
2607.17883__finding,2607.17883,"Zero Hallucination, by Construction: Hallucination-Aware Layered Oversight for Trustworth…",finding,"What is the main finding or result reported in the paper ""Zero Hallucination, by Construction: Hallucination-Aware Layered Oversight for Trustworthy Enterprise AI""?",partially_supported,,,
2310.08372__method,2310.08372,Improving Factual Consistency for Knowledge-Grounded Dialogue Systems via Knowledge Enhan…,method,"What method or approach does the paper ""Improving Factual Consistency for Knowledge-Grounded Dialogue Systems via Knowledge Enhancement and Alignment"" propose?",well_supported,,,
2310.08372__dataset,2310.08372,Improving Factual Consistency for Knowledge-Grounded Dialogue Systems via Knowledge Enhan…,dataset,"What dataset(s) or benchmark(s) does the paper ""Improving Factual Consistency for Knowledge-Grounded Dialogue Systems via Knowledge Enhancement and Alignment"" use?",poorly_supported,2406.14709,similar,
2310.08372__finding,2310.08372,Improving Factual Consistency for Knowledge-Grounded Dialogue Systems via Knowledge Enhan…,finding,"What is the main finding or result reported in the paper ""Improving Factual Consistency for Knowledge-Grounded Dialogue Systems via Knowledge Enhancement and Alignment""?",well_supported,,,
2509.20859__method,2509.20859,Concise and Sufficient Sub-Sentence Citations for Retrieval-Augmented Generation,method,"What method or approach does the paper ""Concise and Sufficient Sub-Sentence Citations for Retrieval-Augmented Generation"" propose?",well_supported,,,
2509.20859__dataset,2509.20859,Concise and Sufficient Sub-Sentence Citations for Retrieval-Augmented Generation,dataset,"What dataset(s) or benchmark(s) does the paper ""Concise and Sufficient Sub-Sentence Citations for Retrieval-Augmented Generation"" use?",well_supported,,,
2509.20859__finding,2509.20859,Concise and Sufficient Sub-Sentence Citations for Retrieval-Augmented Generation,finding,"What is the main finding or result reported in the paper ""Concise and Sufficient Sub-Sentence Citations for Retrieval-Augmented Generation""?",poorly_supported,2406.13663,similar,
2510.10913__method,2510.10913,ADVICE: Answer-Dependent Verbalized Confidence Estimation,method,"What method or approach does the paper ""ADVICE: Answer-Dependent Verbalized Confidence Estimation"" propose?",poorly_supported,2406.03790,dissimilar,
2510.10913__dataset,2510.10913,ADVICE: Answer-Dependent Verbalized Confidence Estimation,dataset,"What dataset(s) or benchmark(s) does the paper ""ADVICE: Answer-Dependent Verbalized Confidence Estimation"" use?",partially_supported,,,
2510.10913__finding,2510.10913,ADVICE: Answer-Dependent Verbalized Confidence Estimation,finding,"What is the main finding or result reported in the paper ""ADVICE: Answer-Dependent Verbalized Confidence Estimation""?",well_supported,,,
2506.21288__method,2506.21288,Small Encoders Can Rival Large Decoders in Detecting Groundedness,method,"What method or approach does the paper ""Small Encoders Can Rival Large Decoders in Detecting Groundedness"" propose?",well_supported,,,
2506.21288__dataset,2506.21288,Small Encoders Can Rival Large Decoders in Detecting Groundedness,dataset,"What dataset(s) or benchmark(s) does the paper ""Small Encoders Can Rival Large Decoders in Detecting Groundedness"" use?",partially_supported,,,
2506.21288__finding,2506.21288,Small Encoders Can Rival Large Decoders in Detecting Groundedness,finding,"What is the main finding or result reported in the paper ""Small Encoders Can Rival Large Decoders in Detecting Groundedness""?",well_supported,,,
2309.12455__method,2309.12455,LongDocFACTScore: Evaluating the Factuality of Long Document Abstractive Summarisation,method,"What method or approach does the paper ""LongDocFACTScore: Evaluating the Factuality of Long Document Abstractive Summarisation"" propose?",poorly_supported,2211.08412,similar,
2309.12455__dataset,2309.12455,LongDocFACTScore: Evaluating the Factuality of Long Document Abstractive Summarisation,dataset,"What dataset(s) or benchmark(s) does the paper ""LongDocFACTScore: Evaluating the Factuality of Long Document Abstractive Summarisation"" use?",well_supported,,,
2309.12455__finding,2309.12455,LongDocFACTScore: Evaluating the Factuality of Long Document Abstractive Summarisation,finding,"What is the main finding or result reported in the paper ""LongDocFACTScore: Evaluating the Factuality of Long Document Abstractive Summarisation""?",poorly_supported,2412.18004,dissimilar,
2211.07066__method,2211.07066,Controllable Citation Sentence Generation with Language Models,method,"What method or approach does the paper ""Controllable Citation Sentence Generation with Language Models"" propose?",well_supported,,,
2211.07066__dataset,2211.07066,Controllable Citation Sentence Generation with Language Models,dataset,"What dataset(s) or benchmark(s) does the paper ""Controllable Citation Sentence Generation with Language Models"" use?",partially_supported,,,
2211.07066__finding,2211.07066,Controllable Citation Sentence Generation with Language Models,finding,"What is the main finding or result reported in the paper ""Controllable Citation Sentence Generation with Language Models""?",partially_supported,,,
2509.24202__method,2509.24202,Can Large Language Models Express Uncertainty Like Human?,method,"What method or approach does the paper ""Can Large Language Models Express Uncertainty Like Human?"" propose?",poorly_supported,2406.03790,dissimilar,
2509.24202__dataset,2509.24202,Can Large Language Models Express Uncertainty Like Human?,dataset,"What dataset(s) or benchmark(s) does the paper ""Can Large Language Models Express Uncertainty Like Human?"" use?",well_supported,,,
2509.24202__finding,2509.24202,Can Large Language Models Express Uncertainty Like Human?,finding,"What is the main finding or result reported in the paper ""Can Large Language Models Express Uncertainty Like Human?""?",well_supported,,,
2601.09036__method,2601.09036,SpectraQuery: A Hybrid Retrieval-Augmented Conversational Assistant for Battery Science,method,"What method or approach does the paper ""SpectraQuery: A Hybrid Retrieval-Augmented Conversational Assistant for Battery Science"" propose?",well_supported,,,
2601.09036__dataset,2601.09036,SpectraQuery: A Hybrid Retrieval-Augmented Conversational Assistant for Battery Science,dataset,"What dataset(s) or benchmark(s) does the paper ""SpectraQuery: A Hybrid Retrieval-Augmented Conversational Assistant for Battery Science"" use?",poorly_supported,2505.17503,similar,
2601.09036__finding,2601.09036,SpectraQuery: A Hybrid Retrieval-Augmented Conversational Assistant for Battery Science,finding,"What is the main finding or result reported in the paper ""SpectraQuery: A Hybrid Retrieval-Augmented Conversational Assistant for Battery Science""?",poorly_supported,2601.02179,dissimilar,
2603.05698__method,2603.05698,Towards Robust Retrieval-Augmented Generation Based on Knowledge Graph: A Comparative Ana…,method,"What method or approach does the paper ""Towards Robust Retrieval-Augmented Generation Based on Knowledge Graph: A Comparative Analysis"" propose?",well_supported,,,
2603.05698__dataset,2603.05698,Towards Robust Retrieval-Augmented Generation Based on Knowledge Graph: A Comparative Ana…,dataset,"What dataset(s) or benchmark(s) does the paper ""Towards Robust Retrieval-Augmented Generation Based on Knowledge Graph: A Comparative Analysis"" use?",poorly_supported,2311.12233,dissimilar,
2603.05698__finding,2603.05698,Towards Robust Retrieval-Augmented Generation Based on Knowledge Graph: A Comparative Ana…,finding,"What is the main finding or result reported in the paper ""Towards Robust Retrieval-Augmented Generation Based on Knowledge Graph: A Comparative Analysis""?",well_supported,,,
2302.12369__method,2302.12369,Factual Consistency Oriented Speech Recognition,method,"What method or approach does the paper ""Factual Consistency Oriented Speech Recognition"" propose?",well_supported,,,
2302.12369__dataset,2302.12369,Factual Consistency Oriented Speech Recognition,dataset,"What dataset(s) or benchmark(s) does the paper ""Factual Consistency Oriented Speech Recognition"" use?",well_supported,,,
2302.12369__finding,2302.12369,Factual Consistency Oriented Speech Recognition,finding,"What is the main finding or result reported in the paper ""Factual Consistency Oriented Speech Recognition""?",poorly_supported,2406.03790,dissimilar,
2410.03726__method,2410.03726,Neurosymbolic AI approach to Attribution in Large Language Models,method,"What method or approach does the paper ""Neurosymbolic AI approach to Attribution in Large Language Models"" propose?",well_supported,,,
